id,name,department,rmp_url,created_at,updated_at,course_codes
124,Marni J Mishna,MATH,,,,"[""443"", ""743""]"
117,David Muraki,MATH,,,,"[""314"", ""462"", ""762""]"
125,Caroline G Colijn,MATH,,,,"[""468"", ""768""]"
126,JF Williams,MATH,,,,"[""475"", ""775""]"
127,Nadish Lahiru de Silva,MATH,,,,"[""800""]"
106,Tamon Stephen,MATH,,,,"[""157"", ""808""]"
118,Imin Chen,MATH,,,,"[""320"", ""842""]"
128,Richard Lockhart,STAT,,,,"[""100""]"
132,Marie Matteson Loughin,STAT,,,,"[""203""]"
133,Marie Loughin,STAT,,,,"[""203""]"
131,Gamage Harsha Prasad Perera,STAT,,,,"[""201"", ""203""]"
150,Donald Estep,STAT,,,,"[""891""]"
140,Lin Zhang,STAT,,,,"[""350""]"
141,Haolun Shi,STAT,,,,"[""360""]"
142,William Bradley McNeney,STAT,,,,"[""380""]"
143,Brad McNeney,STAT,,,,"[""380""]"
136,Boxin Tang,STAT,,,,"[""285"", ""430""]"
144,Derek Bingham,STAT,,,,"[""403"", ""603""]"
98,TBA Sessional,MATH,,,,"[""150"", ""155"", ""445"", ""645""]"
145,Thomas Michael Loughin,STAT,,,,"[""475"", ""675""]"
146,Thomas Loughin,STAT,,,,"[""475"", ""675""]"
147,Ian Jason Bercovitz,STAT,,,,"[""811"", ""812""]"
148,Ian Bercovitz,STAT,,,,"[""812""]"
138,Rachel Jane Altman,STAT,,,,"[""305"", ""605"", ""851""]"
149,Jinko Graham,STAT,,,,"[""853""]"
